Any,Nom_Districte,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili),Preu
2020,Nou Barris,Can Peguera,2234,930,2.4,
2020,Nou Barris,la Guineueta,15420,6233,2.47,735.9
2020,Nou Barris,Canyelles,6869,2805,2.45,789.1333333333333
2020,Nou Barris,les Roquetes,16417,6026,2.72,637.2249999999999
2020,Nou Barris,Verdun,12798,5141,2.49,653.975
2020,Nou Barris,la Prosperitat,27003,10830,2.49,702.125
2020,Nou Barris,la Trinitat Nova,7669,2941,2.61,593.4
2020,Nou Barris,Torre Baró,2925,972,3.01,452.0
2020,Nou Barris,Ciutat Meridiana,11091,3744,2.96,535.25
2020,Nou Barris,Vallbona,1421,488,2.91,
2020,Sant Andreu,la Trinitat Vella,10487,3565,2.94,646.125
2020,Sant Andreu,Baró de Viver,2625,995,2.64,584.1
2020,Sant Andreu,el Bon Pastor,13652,4498,3.04,728.05
2020,Sant Andreu,Sant Andreu,58508,23984,2.44,813.525
2020,Sant Andreu,la Sagrera,29521,11878,2.49,787.075
2020,Sant Andreu,el Congrés i els Indians,14726,5990,2.46,804.325
2020,Sant Andreu,Navas,22457,9088,2.47,869.05
2020,Sant Martí,el Camp de l'Arpa del Clot,39262,16520,2.38,863.25
2020,Sant Martí,el Clot,27069,10786,2.51,874.15
2020,Sant Martí,el Parc i la Llacuna del Poblenou,15947,6449,2.47,975.825
2020,Sant Martí,la Vila Olímpica del Poblenou,9385,3545,2.65,1388.175
2020,Sant Martí,el Poblenou,34432,13760,2.5,1001.425
2020,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13526,5368,2.52,1135.275
2020,Sant Martí,el Besòs i el Maresme,25501,8365,3.05,744.925
2020,Sant Martí,Provençals del Poblenou,21523,8419,2.56,973.35
2020,Sant Martí,Sant Martí de Provençals,26168,10629,2.46,836.775
2020,Sant Martí,la Verneda i la Pau,28878,11484,2.51,770.275
