Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2016,Les Corts,la Maternitat i Sant Ramon,Dones,430,622
2016,Les Corts,Pedralbes,Dones,178,366
2016,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,70,75
2016,Sarrià-Sant Gervasi,Sarrià,Dones,378,589
2016,Sarrià-Sant Gervasi,les Tres Torres,Dones,232,348
2016,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dones,364,597
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Dones,665,1228
2016,Sarrià-Sant Gervasi,el Putxet i el Farró,Dones,485,691
2016,Gràcia,Vallcarca i els Penitents,Dones,219,354
2016,Gràcia,el Coll,Dones,131,171
2016,Gràcia,la Salut,Dones,166,305
2016,Gràcia,la Vila de Gràcia,Dones,848,1650
2016,Gràcia,el Camp d'en Grassot i Gràcia Nova,Dones,469,803
2016,Horta-Guinardó,el Baix Guinardó,Dones,365,550
2016,Horta-Guinardó,Can Baró,Dones,129,200
2016,Horta-Guinardó,el Guinardó,Dones,577,852
2016,Horta-Guinardó,la Font d'en Fargues,Dones,108,103
2016,Horta-Guinardó,el Carmel,Dones,457,598
2016,Horta-Guinardó,la Teixonera,Dones,175,268
2016,Horta-Guinardó,Sant Genís dels Agudells,Dones,83,170
2016,Horta-Guinardó,Montbau,Dones,64,134
2016,Horta-Guinardó,la Vall d'Hebron,Dones,55,98
2016,Horta-Guinardó,la Clota,Dones,3,15
2016,Horta-Guinardó,Horta,Dones,317,506
2016,Nou Barris,Vilapicina i la Torre Llobeta,Dones,361,509
2016,Nou Barris,Porta,Dones,352,618
2016,Nou Barris,el Turó de la Peira,Dones,231,381
2016,Nou Barris,Can Peguera,Dones,27,37
2016,Nou Barris,la Guineueta,Dones,143,260
2016,Nou Barris,Canyelles,Dones,79,65
2016,Nou Barris,les Roquetes,Dones,303,469
2016,Nou Barris,Verdun,Dones,205,303
2016,Nou Barris,la Prosperitat,Dones,367,624
2016,Nou Barris,la Trinitat Nova,Dones,132,174
2016,Nou Barris,Torre Baró,Dones,35,70
